regime_id,specification,covariate_term,odds_ratio,p_value,n_cases,covariate_set,null_model
0,unconditional,C(defendant_race)[T.Black],0.4081,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,C(defendant_race)[T.Hispanic],0.4528,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,defendant_sex[T.M],0.1939,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,defendant_citizenship[T.Legal Alien],1.9965,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,defendant_citizenship[T.Non-US Extra-Territorial],2.4114,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,defendant_citizenship[T.US Citizen],0.5551,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,defendant_citizenship[T.Unknown],7.926,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,unconditional,C(defendant_race)[T.Other],1.052,0.074188,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,C(defendant_race)[T.Black],2.4505,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,C(defendant_race)[T.Hispanic],2.2085,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,defendant_sex[T.M],5.1579,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,defendant_citizenship[T.Legal Alien],0.5009,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,defendant_citizenship[T.Non-US Extra-Territorial],0.4147,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,defendant_citizenship[T.US Citizen],1.8014,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,defendant_citizenship[T.Unknown],0.1262,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
1,unconditional,C(defendant_race)[T.Other],0.9506,0.074188,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,logistic regression: P(regime=k) ~ demographics | severity + venue
0,conditional_on_primary,C(defendant_race)[T.Black],0.5832,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,C(defendant_race)[T.Hispanic],0.738,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,defendant_sex[T.M],0.3368,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,defendant_citizenship[T.US Citizen],0.5696,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,defendant_citizenship[T.Unknown],6.0195,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,defendant_citizenship[T.Non-US Extra-Territorial],1.8834,4.6e-05,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,C(defendant_race)[T.Other],1.1979,0.0037,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
0,conditional_on_primary,defendant_citizenship[T.Legal Alien],1.2196,0.006802,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,C(defendant_race)[T.Black],1.7146,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,C(defendant_race)[T.Hispanic],1.3549,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,defendant_sex[T.M],2.9695,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,defendant_citizenship[T.US Citizen],1.7556,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,defendant_citizenship[T.Unknown],0.1661,0.0,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,defendant_citizenship[T.Non-US Extra-Territorial],0.5309,4.6e-05,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,C(defendant_race)[T.Other],0.8348,0.0037,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
1,conditional_on_primary,defendant_citizenship[T.Legal Alien],0.82,0.006802,217076,race(White ref) + sex + citizenship + final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade + primary_offense,logistic regression: P(regime=k) ~ demographics | severity + venue + primary offense
