primary_offense,stacked_offense,covariate_term,odds_ratio,p_value,n_cases,covariate_set,null_model
DRUG,OTHER,C(defendant_race)[T.Black],0.5539,0.0,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FIREARM,OTHER,C(defendant_race)[T.Black],0.3727,0.0,29663,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,TAX,C(defendant_race)[T.Black],0.4537,0.0,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,FRAUD,C(defendant_race)[T.Hispanic],0.2749,0.0,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,OTHER,C(defendant_race)[T.Hispanic],0.3182,0.0,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,OTHER,C(defendant_race)[T.Hispanic],0.4574,0.0,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
DRUG,FIREARM,C(defendant_race)[T.Black],1.3883,0.0,101194,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
RACKET,OTHER,C(defendant_race)[T.Black],0.551,1e-06,7533,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
IMMIG,ADMIN_JUST,C(defendant_race)[T.Hispanic],0.2225,5e-06,103562,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
FRAUD,TAX,C(defendant_race)[T.Hispanic],0.4576,2.2e-05,28669,race(White ref) + sex + citizenship + district + final_offense_level + criminal_history_category + mand_min_flag + fiscal_year_decade,logistic regression: has_secondary ~ race + sex + citizenship + C(district) + final_offense_level + criminal_history_category + mand_min_flag + C(fiscal_year_decade)
