offense_a,offense_b,adjusted_cooccurrence_weight,odds_ratio,observed_joint_rate,expected_joint_rate,n_joint_cases,n_cases,p_value,covariate_set,null_model,passes_effect_size_filter
FRAUD,LAUNDER,0.69068,1.9951,0.00357,0.00179,1603,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
VIOLENT,OTHER,0.44884,1.5665,0.0044,0.00281,1976,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
ADMIN_JUST,OTHER,0.42182,1.5247,0.00283,0.00186,1272,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
LAUNDER,ADMIN_JUST,0.41686,1.5172,0.00027,0.00018,123,449071,4e-06,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,RACKET,0.39409,1.483,0.00892,0.00603,4006,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
RACKET,OTHER,0.36776,1.4445,0.00248,0.00172,1112,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
CONSPIRACY,OTHER,0.36139,1.4353,0.00501,0.0035,2252,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,CONSPIRACY,0.2802,1.3234,0.00084,0.00063,375,449071,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
RACKET,ADMIN_JUST,0.20452,1.2269,0.00031,0.00025,140,449071,0.015539,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
RACKET,VIOLENT,0.16619,1.1808,0.00101,0.00086,454,449071,0.000401,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
