offense_a,offense_b,adjusted_cooccurrence_weight,odds_ratio,observed_joint_rate,expected_joint_rate,n_joint_cases,n_cases,p_value,covariate_set,null_model,passes_effect_size_filter
FIREARM,RACKET,0.55931,1.7495,0.00922,0.00529,3151,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FRAUD,LAUNDER,0.4953,1.641,0.00395,0.00241,1349,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,OTHER,0.4216,1.5244,0.00288,0.00189,983,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
LAUNDER,ADMIN_JUST,0.40522,1.4996,0.00032,0.00021,108,341664,2.5e-05,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,OTHER,0.30455,1.356,0.00269,0.00198,919,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
CONSPIRACY,OTHER,0.2649,1.3033,0.00592,0.00455,2024,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
LAUNDER,CONSPIRACY,0.2446,1.2771,0.00164,0.00128,560,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FRAUD,CONSPIRACY,0.24458,1.2771,0.00797,0.00625,2723,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,CONSPIRACY,0.24034,1.2717,0.00099,0.00078,337,341664,1e-05,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
VIOLENT,OTHER,0.23256,1.2618,0.0033,0.00262,1129,341664,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
