offense_a,offense_b,adjusted_cooccurrence_weight,odds_ratio,observed_joint_rate,expected_joint_rate,n_joint_cases,n_cases,p_value,covariate_set,null_model,passes_effect_size_filter
FRAUD,LAUNDER,0.59897,1.8203,0.00373,0.00205,2952,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
FIREARM,RACKET,0.46938,1.599,0.00905,0.00568,7157,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
LAUNDER,ADMIN_JUST,0.42489,1.5294,0.00029,0.00019,231,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",True
RACKET,OTHER,0.39336,1.4819,0.00265,0.00179,2095,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
VIOLENT,OTHER,0.38397,1.4681,0.00393,0.00268,3105,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,OTHER,0.37664,1.4574,0.00277,0.0019,2191,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
CONSPIRACY,OTHER,0.32353,1.382,0.00541,0.00392,4276,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
ADMIN_JUST,CONSPIRACY,0.26885,1.3085,0.0009,0.00069,712,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FRAUD,CONSPIRACY,0.20122,1.2229,0.00605,0.00495,4784,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
LAUNDER,CONSPIRACY,0.16221,1.1761,0.00131,0.00111,1036,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
LAUNDER,TAX,0.14064,1.151,0.00045,0.00039,359,790735,0.00772,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
TAX,CONSPIRACY,0.13822,1.1482,0.00082,0.00072,652,790735,0.000419,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
FRAUD,TAX,0.13463,1.1441,0.00195,0.0017,1541,790735,0.0,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
RACKET,VIOLENT,0.10013,1.1053,0.00099,0.00089,781,790735,0.00516,final_offense_level + criminal_history_category + mand_min_flag + district + fiscal_year_decade,"logistic regression: P(has_both_offenses) ~ final_offense_level + criminal_history_category + mand_min_flag + C(district) + C(fiscal_year_decade); odds ratio of observed vs severity-predicted joint rate; Wald z-test on log(OR); effect-size filter (default OR>=1.5 or OR<=1/1.5) applied BEFORE significance filter because at USSC-scale n, p-value alone is trivially significant",False
